"name","steam_appid","required_age","is_free","number_dlc","developers","publishers","price_currency","price_initial","price_final","windows","mac","linux","metacritic_score","categories","genres","recommendations_total","achievements_total","release_date"
"PathBlasters",1172100,0,False,"","Sine Coda","TyGAMES","CAD","15.49","15.49",True,True,True,"","Single-player;Multi-player;PvP;Online PvP;Shared/Split Screen PvP;Shared/Split Screen;Full controller support;Remote Play Together;Family Sharing","Action;Casual;Indie","",31,"11 Apr, 2024"
"Static",1043560,0,False,"","Dogwood Gaming","-","CAD","11.49","11.49",True,False,False,"","Single-player;Steam Achievements;Family Sharing","Action;Adventure;Indie","",17,"5 Apr, 2019"
"Cameraman: The Pilot Episode",2528130,0,False,"","RAA Studios","RAA Studios","","","",True,False,False,"","Single-player;Family Sharing","Action;Adventure;Casual","","","Q3 2025"
"Raster",2586970,0,False,"","Rchair Studio","Rchair Studio","CAD","7.79","7.79",True,False,False,"","Single-player;Steam Achievements;Steam Cloud;Steam Leaderboards;Family Sharing","Casual;Indie","",8,"16 Nov, 2024"
"Black Mountain Kings",2633460,0,False,"","Leonardo Alexandrino","Leonardo Alexandrino","CAD","10.49","10.49",True,False,False,"","Single-player;Steam Achievements;Full controller support;Steam Cloud;Family Sharing","Action;Adventure;Indie;RPG;Early Access","",51,"14 Nov, 2024"
"For The Hive",1747630,0,False,"","Arcane Worlds","Arcane Worlds","","","",True,False,False,"","Single-player;Full controller support;Family Sharing","Action;Adventure;Casual;Indie;RPG;Simulation;Strategy","","","To be announced"
"Druidwalker",2231060,0,False,2,"Triin Aare;Mikalai Yankoits","Coldwild Games","CAD","3.99","2.39",True,True,True,"","Single-player;Steam Achievements;Full controller support;Steam Cloud;Family Sharing","Casual;Indie;Simulation","",7,"15 Jun, 2023"
"The King In Yellow - Escape Room",2599930,0,False,"","SoulMeatGames","SoulMeatGames","CAD","11.79","11.79",True,False,False,"","Single-player;Family Sharing","Adventure;Casual;Indie","","","14 Dec, 2023"
"Endure",666270,0,False,"","Killa Bee Software","Killa Bee Software","","","",True,False,False,"","Single-player;Steam Achievements;Family Sharing","Action;Indie;Early Access","","","Coming soon"
"Divine Legacy: Neo Amburia",2148210,0,False,"","Godarkhaos","Godarkhaos","PLN","25.49","25.49",True,False,False,"","Single-player;Steam Achievements;Full controller support;Steam Cloud;Family Sharing","Action;Adventure;Indie;RPG","",23,"23 Jan, 2025"
"Fairies Praying To Heaven 2 ~ Great Devil's Return Match ~ ",2465460,0,False,"","Aqumari","Aqumari","CAD","23.49","23.49",True,False,False,"","Single-player;Steam Achievements;Partial Controller Support;Steam Cloud;Family Sharing","Indie;RPG;Early Access","",19,"31 Oct, 2024"
"Super Bomberman R",702700,0,False,"","KONAMI","KONAMI","CAD","59.99","59.99",True,False,False,"","Single-player;Multi-player;PvP;Online PvP;Shared/Split Screen PvP;Co-op;Online Co-op;Shared/Split Screen Co-op;Partial Controller Support;Remote Play Together;Family Sharing","Action",417,32,"12 Jun, 2018"
"1943 Deadly Desert",616750,0,False,"","HandyGames","HandyGames","CAD","13.99","13.99",True,False,False,"","Single-player;Multi-player;PvP;Online PvP;Steam Achievements;Steam Trading Cards;Steam Cloud;Family Sharing","Indie;Strategy","",31,"15 May, 2018"
"Temple of Aeryn",2363430,0,False,"","Pumpkinteractive","Pumpkinteractive","CAD","15.49","15.49",True,False,False,"","Single-player;Family Sharing","Adventure;Indie;RPG","","","18 Jan, 2024"
"Tengami",299680,0,False,"","Nyamyam","Nyamyam","CAD","8.99","8.99",True,True,False,57,"Single-player;Steam Achievements;Steam Cloud;Family Sharing","Adventure;Casual;Indie",877,4,"15 Jan, 2015"
"Lichkeeper",1847290,0,True,"","Anodomani","None","","","",True,False,False,"","Single-player","Adventure;Casual;Indie;Early Access","","","24 Apr, 2023"
"Aspects of change",1136470,0,False,"","Leonardo Delafiori","Krimson Koala","CAD","3.39","3.39",True,False,False,"","Single-player;Steam Achievements;Family Sharing","Casual;Indie;Strategy","",6,"17 Sep, 2019"
