"name","steam_appid","required_age","is_free","number_dlc","developers","publishers","price_currency","price_initial","price_final","windows","mac","linux","metacritic_score","categories","genres","recommendations_total","achievements_total","release_date"
"TAXINAUT",2082260,0,False,"","mosgrom","mosgrom","CAD","24.99","24.99",True,False,False,"","Single-player;Steam Achievements;Partial Controller Support;Steam Cloud;Family Sharing","Adventure;Indie;RPG;Simulation;Early Access","",14,"15 Sep, 2022"
"Ancient Rituals: Stonehenge",1517170,0,False,"","Mekan Space Experience Design Studio","Mekan Space Experience Design Studio","","","",True,False,False,"","Single-player;Steam Achievements;Captions available;Family Sharing","Casual;Indie","","","Coming soon"
"Red Colony 3 Uncensored",1799590,0,False,"","RunicCodes","RunicCodes;Shinyuden","CAD","11.49","11.49",True,False,False,"","Single-player;Steam Achievements;Full controller support;Family Sharing","Action;Adventure;Casual;Indie","",18,"17 Mar, 2022"
"Exer Gale",2078200,0,False,"","CHARK Studio","CHARK Studio","","","",True,False,False,"","Single-player;Tracked Controller Support;VR Only;Family Sharing","Action;Casual;Racing","","","Coming soon"
"Asteroids and more asteroids",2124460,0,False,"","Phantom Project","Phantom Project","CAD","1.29","1.29",True,False,False,"","Single-player;Multi-player;Co-op;Shared/Split Screen Co-op;Shared/Split Screen;Steam Achievements;Partial Controller Support;Family Sharing","Casual;Indie","",11,"30 Sep, 2022"
"LUXO Buddies",906360,0,False,1,"Myarcadegames Studios","Myarcadegames Studios","CAD","2.59","2.59",True,False,False,"","Single-player;Family Sharing","Adventure;Casual;Indie;RPG;Simulation;Sports;Strategy","","","11 Aug, 2018"
"TouHouDewValley",2551210,0,False,"","DebugJk","DebugJk","CAD","4.99","4.99",True,False,False,"","Single-player;Family Sharing","Action;Adventure;RPG","","","28 Aug, 2023"
"Amaranthine Voyage: The Shadow of Torment Collector's Edition",796080,0,False,"","Eipix Entertainment","Big Fish Games","CAD","11.49","11.49",True,False,False,"","Single-player;Family Sharing","Adventure;Casual","","","12 Feb, 2018"
"WaterMelon Mosikkaeng",2704070,0,False,"","Snoflo","Snoflo","CAD","1.29","1.29",True,False,False,"","Single-player;Full controller support;Family Sharing","Casual;Indie","",2,"20 Jan, 2024"
"Dark Strokes: The Legend of the Snow Kingdom Collector’s Edition",765690,0,False,"","Alawar Friday's Games","Alawar Casual","CAD","10.29","10.29",True,False,False,"","Single-player;Steam Cloud;Family Sharing","Adventure;Casual;Indie","","","20 Dec, 2017"
"Delirium VR",1046670,0,True,"","Night Whale","Night Whale","","","",True,False,False,"","Single-player;Tracked Controller Support;VR Only","Adventure;Indie","","","26 Mar, 2019"
"Nofrills Solitaire",1342270,0,False,"","CouchFox Games","CouchFox Games","CAD","2.59","2.59",True,True,False,"","Single-player;Steam Achievements;Partial Controller Support;Family Sharing","Casual;Indie","",43,"24 Jun, 2020"
"Liegecraft",1503170,0,False,"","From Chaos","From Chaos","","","",True,False,False,"","Single-player;Steam Achievements;Steam Workshop;Steam Cloud;Includes level editor;Family Sharing","Indie;RPG;Strategy;Early Access","","","2025"
"VillageBlade",1892430,0,False,"","PlasmaBrain Studios","Dystopian Edge Publishing","CAD","13.49","13.49",True,False,False,"","Single-player;Family Sharing","Adventure;Casual;Indie;Strategy","","","16 Feb, 2022"
"Guerra Sangrenta",2489880,0,True,"","Wizard Games Global Limited","Wizard Games Global Limited","","","",True,False,False,"","PvP;Online PvP","Action;Free To Play","","","8 Oct, 2023"
"Light On",2316640,0,False,"","indigo game production","indigo game production","","","",True,True,True,"","Single-player;Steam Achievements;Family Sharing","Adventure;Casual;Indie;Strategy","","","Coming soon"
"Hell Of Nightmares: Chapter 1",2443640,0,False,"","VarStudio","VarStudio","CAD","6.49","6.49",True,False,False,"","Single-player;Family Sharing","Adventure;Indie;Strategy","","","22 Jun, 2023"
"Save Iron Globe",1328510,0,True,2,"Frameblade","Frameblade","","","",True,False,False,"","Single-player;Steam Achievements;Partial Controller Support;Steam Cloud;Stats","Action;Adventure;Indie","",14,"17 Aug, 2021"
"Dances and Girls",1437720,0,False,2,"Kotovodk Studio","Kotovodk Studio","CAD","1.29","1.29",True,False,False,"","Single-player;Steam Achievements;Family Sharing","Casual;Indie","",40,"31 Oct, 2020"
"Doki Doki Literature Club Plus!",1388880,0,False,1,"Team Salvato","Serenity Forge","CAD","19.99","14.99",True,True,False,81,"Single-player;Steam Achievements;Steam Cloud;Family Sharing","Casual;Indie",26222,19,"30 Jun, 2021"
"M.I.N.D.",825620,0,False,"","Kasper Kataja (kasbr);Johannes Lähteenmäki (dlooph)","Cosmotic Games","CAD","1.19","1.19",True,False,False,"","Single-player;Multi-player;PvP;Shared/Split Screen PvP;Co-op;Shared/Split Screen Co-op;Shared/Split Screen;Remote Play Together;Family Sharing","Adventure;Casual;Indie","","","23 May, 2018"
"Uncured",2204990,0,False,"","EndRealm","EndRealm","","","",True,True,True,"","Single-player;Full controller support;Family Sharing","Action;Adventure;Indie","","","To be announced"
"Nightmare of Gemstone",2348420,0,False,"","Radiation Duck Lab","Radiation Duck Lab","","","",True,False,False,"","Single-player;Family Sharing","Indie;RPG","","","Coming soon"
"Fear for Sale: Endless Voyage Collector's Edition",1030170,0,False,"","EleFun Games","Big Fish Games","CAD","11.49","11.49",True,False,False,"","Single-player;Family Sharing","Adventure;Casual","","","22 Mar, 2019"
"Musclecar Online",346440,0,False,"","Psychic Software","Psychic Software","CAD","1.29","1.29",True,True,False,"","Multi-player;MMO;Cross-Platform Multiplayer;Steam Achievements;Partial Controller Support;Stats;Steam Leaderboards;Includes level editor;Family Sharing","Massively Multiplayer;Racing;Sports","",11,"12 Feb, 2015"
"GameCreator",1570130,0,False,11,"GameCreator","GameCreator","CAD","45.49","45.49",True,False,False,"","","Indie;Game Development;Early Access","","","26 Oct, 2022"
"Call of Sentinels",2558200,0,False,"","A17 Games","A17 Games","CAD","10.49","6.81",True,False,False,"","Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Family Sharing","Action;Adventure;Indie",165,53,"29 Aug, 2024"
"Captain Frogger",1381640,0,False,"","flapper3 inc.","flapper3 inc.","CAD","3.39","3.39",True,False,False,"","Single-player;Family Sharing","Action","",13,"17 Aug, 2020"
"Math Ascension",2426220,0,False,"","Pestorosso Games","Pestorosso Games","","","",True,False,False,"","Single-player;Steam Cloud;Family Sharing","Indie","","","Coming soon"
"Long Gone",1977610,0,False,"","Hillfort Games","Hillfort Games;Outersloth","","","",True,True,False,"","Single-player;Steam Achievements;Full controller support;Captions available;Family Sharing","Adventure;Indie","","","Coming soon"
"Extermination Cars Stadium",2147260,0,False,"","Balti Calarasi","HandMade Games","CAD","1.29","1.29",True,False,False,"","Single-player;Partial Controller Support;Family Sharing","Casual;Indie;Racing;Simulation;Sports","","","13 Nov, 2022"
"Sea of Blood",1476850,0,False,"","Shimagara Games","Shimagara Games","CAD","4.99","4.99",True,False,False,"","Single-player;Multi-player;Co-op;Online Co-op;Steam Achievements;Family Sharing","Adventure;Indie;RPG","",20,"25 Feb, 2021"
"Yumsters 2: Around the World",29120,0,False,"","KranX Productions","KranX Productions","CAD","5.49","5.49",True,False,False,"","Single-player;Family Sharing","Indie;Casual","","","12 Nov, 2009"
"2014.Aftermath",1032210,0,False,"","Droid Riot","Conglomerate 5","CAD","1.29","1.29",True,False,False,"","Single-player;Steam Achievements;Family Sharing","Action;Indie","",13,"30 Apr, 2019"
"REThink Life",2383450,0,True,"","Oana David;CodexWorks Technologies","Oana David","","","",True,False,False,"","Single-player","Simulation","","","To be announced"
"Shrouded in Sanity: Freebirth",820400,0,True,"","Steve Gal","Pugware","","","",True,False,False,"","Single-player;Full controller support","Violent;Gore;Action;Adventure;Free To Play;Indie","","","23 Mar, 2018"
"Duck Dash",2795760,0,False,"","Gravity Garden","Gravity Garden","CAD","2.59","2.59",True,True,True,"","Single-player;Full controller support;Family Sharing","Indie;RPG;Strategy","","","28 Mar, 2024"
"Oil Strike ‘75",2740090,0,True,"","Sumo Digital Academy","Secret Mode","","","",True,False,False,"","Single-player;Steam Achievements","Action;Indie;Simulation;Free To Play","",27,"9 May, 2024"
"Search for the Titanic",1568450,0,False,"","Capstone Software","Ziggurat","CAD","5.69","5.69",True,False,False,"","Single-player;Family Sharing","Simulation;Strategy","","","2 Apr, 2021"
"Mystery Solitaire. Powerful Alchemist 3",1950640,0,False,"","Melon Games","8floor","CAD","6.49","6.49",True,False,False,"","Single-player;Family Sharing","Casual","","","21 Aug, 2022"
"Warp Dash",2004900,0,False,"","Adweb","Adweb ","CAD","4.99","4.99",True,False,False,"","Single-player;Steam Leaderboards;Family Sharing","Action;Adventure;Casual;Indie","","","26 Jul, 2025"
"Garry's Mod",4000,0,False,"","Facepunch Studios","Valve","CAD","10.99","10.99",True,True,True,"","Single-player;Multi-player;PvP;Online PvP;LAN PvP;Co-op;Online Co-op;LAN Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Includes level editor;Includes Source SDK;Remote Play on Tablet;Family Sharing","Casual;Indie;Simulation",1009576,29,"29 Nov, 2006"
"OHV",1783780,0,False,"","Przemysław Hadała","Przemysław Hadała","CAD","32.50","32.50",True,False,False,"","Single-player;Family Sharing","Indie;Racing;Simulation;Early Access",944,0,"18 Dec, 2024"
"Finders, Keepers",1344880,0,False,"","Alex Francois","Brainchild","","","",True,False,False,"","Single-player;Full controller support;Family Sharing","Adventure;Indie","","","Coming soon"
"Brasil Fusion",2149240,0,True,"","","Salve Studio","","","",True,False,False,"","Multi-player;PvP;Cross-Platform Multiplayer;Steam Achievements;Full controller support","Action;Casual;Strategy;Free To Play","","","Coming soon"
"Potential",2417030,0,False,"","eroG Interactive","eroG Interactive","","","",True,False,False,"","Single-player;Family Sharing","Simulation","","","2025"
"Corebreaker",2190920,0,False,"","aQuadiun","Astrolabe Games","","","",True,False,False,"","Single-player;Full controller support;Steam Cloud;Family Sharing","Action;Indie","","","Coming soon"
"Halcyon Days",2543040,0,False,"","Rock And Roll Gas Station Games","Rock And Roll Gas Station Games","CAD","20.79","20.79",True,False,False,"","Single-player;Full controller support;Family Sharing","Action;Adventure;Indie;RPG","","","15 Jan, 2024"
"Kayak League Playtest",2594120,0,False,"","","","","","",True,False,False,"","","","","","19 Sep, 2023"
"Dark Hero Party",1015790,0,False,"","U-ROOM","Kagura Games","CAD","17.49","17.49",True,False,False,"","Single-player;Steam Trading Cards;Steam Cloud;Family Sharing","Indie;RPG",325,27,"9 Apr, 2020"
"Woeful Woebots",450630,0,False,"","Hello Bard AS","Hello Bard AS","CAD","10.99","10.99",True,False,False,"","Single-player;Tracked Controller Support;VR Only;Steam Trading Cards;VR Support;Steam Leaderboards;Family Sharing","Action;Casual;Indie","",0,"31 Aug, 2018"
"Thriller Garden",2339480,0,False,"","BlackDrop Workshop","-","CAD","7.79","7.79",True,False,False,"","Single-player;Steam Cloud;Family Sharing","Action;Casual;Indie;Early Access","","","19 Nov, 2023"
"Ascended Gods: Realm of Origins",2169150,0,False,"","404 Error Universe","404 Error Universe","","","",True,False,False,"","Single-player;Multi-player;Co-op;Online Co-op;Steam Achievements;In-App Purchases;Partial Controller Support;Steam Cloud;Family Sharing","Action;Adventure;RPG;Strategy;Early Access","","","Coming soon"
"Fated Souls 2",523900,0,False,"","Warfare Studios","Aldorlea Games","CAD","12.99","12.99",True,False,False,"","Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Family Sharing","Adventure;Casual;Indie;RPG","",8,"2 Dec, 2016"
"XWidget",967130,0,False,"","DeskDev Team","DeskDev Team","CAD","4.99","4.99",True,False,False,"","Single-player;Steam Cloud;Includes level editor","Animation & Modeling;Design & Illustration;Utilities",410,"","19 Nov, 2018"
"Pokka Man",823290,0,False,"","Tumico Studio","Tumico Studio","CAD","2.29","2.29",True,False,False,"","Single-player;Family Sharing","Action;Casual;Indie;Strategy","","","2 Apr, 2018"
"Demeo Battles",1969310,0,False,"","Resolution Games","Resolution Games","CAD","25.99","25.99",True,False,False,"","Single-player;Multi-player;PvP;Online PvP;Cross-Platform Multiplayer;Steam Achievements;Tracked Controller Support;VR Supported;Family Sharing","Adventure;Indie;RPG;Strategy","",28,"9 Nov, 2023"
"Rise Against the Invaders",1388170,0,False,"","BASEMENTMODE, LLC;Arthur Low","BASEMENTMODE, LLC","","","",True,False,False,"","Single-player;Steam Achievements;Family Sharing","Indie;Simulation;Strategy;Early Access","","","Coming soon"
"The Artifacts",1051940,0,False,"","Slap Happy Larry","Slap Happy Larry","CAD","3.39","3.39",True,False,False,"","Single-player;Family Sharing","Adventure;Casual;Indie","","","1 May, 2019"
"Survivor Of The Journey",2095740,0,False,"","Enter the Game Studios","Enter the Game Studios","CAD","4.99","2.99",True,False,False,"","Single-player;Steam Achievements;Full controller support;Steam Cloud;Family Sharing","Action;Casual;Indie","",29,"7 May, 2023"
"全战天下",1447470,0,True,"","全战天下","全战天下","","","",True,False,False,"","Single-player;Multi-player;MMO;PvP;Online PvP;Co-op;Online Co-op;Cross-Platform Multiplayer;In-App Purchases","Adventure;Free To Play;Massively Multiplayer;RPG;Simulation;Strategy","","","12 Apr, 2021"
"Star Bind",2760830,0,False,"","AlienX","AlienX","","","",True,True,False,"","Single-player;Steam Achievements;Full controller support;Steam Cloud;Family Sharing","Action;Adventure;Indie;RPG","","","To be announced"
"Across The Globe",2123020,0,False,"","Righteous Sword","Righteous Sword","CAD","15.49","15.49",True,False,False,"","Single-player;Family Sharing","Strategy","","","1 Sep, 2022"
"Strawb",2298460,0,False,"","Noxlor","Noxlor","CAD","2.59","2.59",True,False,False,"","Single-player;Partial Controller Support;Family Sharing","Casual","","","9 Mar, 2023"
"Little Nightmares III",1392860,0,False,4,"Supermassive Games","Bandai Namco Entertainment","","","",True,False,False,"","Single-player;Multi-player;Co-op;Online Co-op;Steam Achievements;Full controller support;Steam Cloud;Family Sharing","Adventure","","","9 Oct, 2025"
"Warka Flarka Flim Flam",573360,0,False,"","Cabbibo;Mikael Emtinger","Cabbibo","CAD","2.19","2.19",True,False,False,"","Single-player;Tracked Controller Support;VR Only;Family Sharing","Casual;Indie","","","22 Dec, 2016"
"City Air Battle",1755810,0,False,"","JS GAME","JS GAME","CAD","2.29","2.29",True,False,False,"","Single-player;Steam Achievements;Steam Leaderboards;Family Sharing","Action;Casual;Indie","",7,"30 Sep, 2021"
"Total Vengeance Playtest",2687580,0,False,"","","","","","",True,False,False,"","","","","","15 Nov, 2023"
"CyVenge",2643090,0,True,1,"Cave Beer Entertainment","Cave Beer Entertainment","","","",True,True,False,"","Single-player;Steam Achievements","Action;Casual;Indie","",41,"24 Nov, 2023"
"Terra Bomber",1445870,0,False,"","DM Media","Funbox Media Ltd","CAD","6.49","6.49",True,False,False,"","Single-player;Full controller support;Family Sharing","Casual;Indie","","","28 Oct, 2020"
"Deconstruction Simulator: Prologue",2778430,0,True,"","Games Incubator;Hypnotic Ants","Games Incubator;PlayWay S.A.","","","",True,False,False,"","Single-player;Full controller support","Indie;RPG;Simulation;Free To Play","","","31 Mar, 2025"
"Fantasy Toonz: Embers of Creation",1699140,0,False,"","Brat Gaming","Brat Gaming","","","",True,False,False,"","Single-player;Multi-player;Co-op;Online Co-op;Steam Achievements;In-App Purchases;Steam Cloud;Family Sharing","Action;Adventure;Indie;RPG;Early Access","","","Coming soon"
"30 Birds",1708770,0,False,"","RAM RAM Games;Business Goose Studios","ARTE France","CAD","23.49","14.09",True,True,False,83,"Single-player;Full controller support;Family Sharing","Adventure;Indie","",30,"27 Nov, 2024"
"Scrambled Galaxy",809010,0,True,"","Juvty Worlds","Juvty Worlds","","","",True,False,False,"","Multi-player;MMO;PvP;Online PvP;Cross-Platform Multiplayer","Casual;Free To Play;Indie;Massively Multiplayer;Strategy","","","Coming soon"
"The Magic World",2132520,0,False,"","Flame-Dragons;Dmitriy Belonovskiy","Flame-Dragons","CAD","13.99","13.99",True,True,True,"","Single-player;Family Sharing","Adventure;RPG","","","2 May, 2023"
"Morps",725540,0,False,"","Random developers","Random developers","CAD","5.69","5.69",True,False,False,"","Single-player;Multi-player;PvP;Shared/Split Screen PvP;Steam Achievements;Stats;Remote Play Together;Family Sharing","Strategy","",22,"21 Nov, 2017"
"Plates",497680,0,False,"","maasgdev","maasgdev","CAD","1.09","1.09",True,True,True,"","Single-player;Steam Achievements;Family Sharing","Casual;Indie","",2,"19 Aug, 2016"
"SpaceCraft Brawl",1236770,0,False,"","ruploz","ruploz","CAD","10.49","10.49",True,False,False,"","Single-player;Multi-player;PvP;Online PvP;Co-op;Online Co-op;Steam Achievements;Includes level editor;Family Sharing","Action;Indie;Massively Multiplayer;Strategy;Early Access","",3,"1 Jul, 2024"
"MONSTERGEDDON 42: Monsters of the Eternal World War™",1718220,0,False,"","GEDDON, LLC","","","","",True,False,False,"","Single-player;Multi-player;PvP;Online PvP;LAN PvP;Co-op;Online Co-op;LAN Co-op;Steam Achievements;Full controller support;Family Sharing","Action;Casual;Indie;Sports","","","Coming soon"
"Hidden Town",1778470,0,False,"","Hede;HEDE Game Engine","Hede","CAD","259.99","259.99",True,True,True,"","Single-player;Steam Achievements;Steam Leaderboards;Family Sharing","Action;Casual;Indie;Simulation","",6,"16 Oct, 2021"
"catAnod",833260,0,False,"","Ocze","Simple Game","CAD","3.39","3.39",True,False,False,"","Single-player;Steam Achievements;Family Sharing","Indie","",40,"23 Apr, 2018"
"Supaplex GO!",913650,0,False,"","InArcade","InArcade","CAD","17.49","17.49",True,True,True,"","Single-player;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards;Family Sharing","Action;Casual;Indie","",5,"31 Aug, 2018"
"From Heaven To Earth",1834580,0,False,"","EpiXR Games UG","EpiXR Games UG","CAD","11.49","11.49",True,False,False,"","Single-player;Steam Achievements;Family Sharing","Action;Casual;Indie;Simulation","",41,"18 Feb, 2022"
"COLORS of NOBILITY",2379370,0,False,"","seamonsterhorse","seamonsterhorse","","","",True,True,False,"","Single-player;Family Sharing","Adventure;Casual;Indie","","","To be announced"
"Chicken Nuggets",1807020,0,False,"","Double M Digital Inc.","Double M Digital Inc.","","","",True,True,False,"","Single-player;Multi-player;Co-op;Shared/Split Screen Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Captions available;Steam Workshop;In-App Purchases;Steam Cloud;Stats;Steam Leaderboards;Includes level editor;Remote Play Together;Family Sharing","Action;Adventure;Casual;Indie","","","Coming soon"
"My Loving Wife",2129970,0,True,"","Conor Hehr","Conor Hehr","","","",True,True,True,"","Single-player;Steam Achievements","Casual;Free To Play;Simulation","",12,"6 Dec, 2022"
"Intrepid Izzy",908560,0,False,"","Senile Team","Senile Team","CAD","13.99","13.99",True,False,False,"","Single-player;Steam Achievements;Full controller support;Color Alternatives;Custom Volume Controls;Keyboard Only Option;Stereo Sound;Steam Cloud;Family Sharing","Action;Adventure;Indie","",25,"26 Jul, 2020"
"imomushi",2620500,0,False,"","AMURu","AMURu","CAD","2.59","2.59",True,True,False,"","Single-player;Partial Controller Support;Family Sharing","Action;Indie",193,"","26 Oct, 2023"
"No Body Home",794420,0,False,"","The Sheep's Meow","The Sheep's Meow","","","",True,True,False,"","Single-player;Multi-player;PvP;Shared/Split Screen PvP;Co-op;Shared/Split Screen Co-op;Steam Achievements;Full controller support;Captions available;Remote Play Together;Family Sharing","Action;Adventure;Casual;Indie","","","Coming soon"
"Mythical Whalers",2787860,0,False,"","Kleen Fleet","Kleen Fleet","","","",True,False,False,"","Single-player;Family Sharing","Adventure;Casual;Indie;RPG;Simulation;Strategy","","","2025"
"Paris in 2000 Years",1298420,0,False,"","Windforce","Windforce","CAD","12.99","12.99",True,False,False,"","Single-player;Family Sharing","Indie;Simulation;Strategy","","","22 Aug, 2024"
"Delineation",2569060,0,False,"","MattTheDev","MattTheDev","CAD","6.49","6.49",True,True,False,"","Single-player;Steam Achievements;Family Sharing","Casual;Indie","",8,"15 Sep, 2023"
"Boinihi: The Ki Codex",1298050,0,False,1,"Simon Says: Play!","Simon Says: Play!","CAD","12.99","12.99",True,False,False,"","Single-player;Steam Achievements;Family Sharing","Adventure;Indie","",10,"27 May, 2020"
"Tank Strike",2495480,0,False,"","brenman60 Games","brenman60 Games","","","",True,False,False,"","Single-player;Multi-player;PvP;Online PvP;Co-op;Online Co-op;Partial Controller Support;Includes level editor;Family Sharing","Action;Indie;Strategy","","","Coming soon"
"Romancing SaGa 3™",952540,0,False,"","Square Enix;ArtePiazza","Square Enix","CAD","35.99","35.99",True,False,False,"","Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Family Sharing","RPG",446,41,"11 Nov, 2019"
"CannonBall",1936840,0,False,"","SURgames","SURgames","CAD","1.19","1.19",True,False,False,"","Single-player;Family Sharing","Casual","","","10 Apr, 2022"
"Mini Star Bakery",2171610,0,False,"","MACKINN7","MACKINN7","CAD","12.99","12.99",True,False,False,"","Single-player;Partial Controller Support;Family Sharing","Casual;Indie;RPG","","","2 Jan, 2023"
"We Walked In Darkness",766090,0,True,"","CelleC Games","CelleC Games","","","",True,False,False,"","Single-player","Adventure;Casual;Free To Play;Indie","","","12 Jan, 2018"
"Drunkn Bar Fight",528550,0,False,"","The Munky","The Munky","CAD","15.49","15.49",True,False,False,"","Single-player;Multi-player;PvP;Online PvP;Shared/Split Screen PvP;Co-op;Online Co-op;Tracked Controller Support;VR Only;Remote Play Together;Family Sharing","Action;Indie",967,"","17 Jul, 2025"
"I Am Short",2528450,0,False,"","OverPhil","OverPhil","","","",True,False,False,"","Single-player;Partial Controller Support;Family Sharing","Indie","","","To be announced"
"Book Of Potentia 2",665740,0,True,"","SolarByte","DenyingProduct","","","",True,False,False,"","Single-player;Multi-player;Shared/Split Screen;Full controller support;Remote Play Together","Indie;Free To Play","","","22 Jul, 2017"
"Sweet Bumblebee Days",1286700,0,False,"","BananaChu Team","BananaChu Team","","","",True,False,False,"","Single-player;Steam Achievements;Full controller support;Family Sharing","Adventure","","","Coming soon"
"Aarik And The Ruined Kingdom",2687300,0,False,"","Shatterproof Games","Shatterproof Games","CAD","10.49","10.49",True,True,False,"","Single-player;Steam Achievements;Full controller support;Steam Cloud;Family Sharing","Adventure;Indie;RPG","",40,"20 Jun, 2024"
"TagTime",2449640,0,False,"","Niila","Niila","","","",True,True,False,"","Multi-player;PvP;Online PvP;Co-op;Online Co-op;Cross-Platform Multiplayer;Partial Controller Support;Stats;Family Sharing","Action;Casual;Indie;Strategy","","","To be announced"
"Green Elephant: Epilogue",1217580,0,False,"","GRüN STUDIO","GRüN STUDIO","CAD","6.69","6.69",True,False,False,"","Single-player;Steam Achievements;Partial Controller Support;Family Sharing","Indie","",10,"14 Feb, 2020"
"Dransik",1871470,0,True,"","Iron Will Games, LLC","Iron Will Games, LLC","","","",True,True,False,"","Multi-player;MMO;PvP;Online PvP;Co-op;Online Co-op;In-App Purchases","Adventure;Massively Multiplayer;RPG;Free To Play","","","2 Sep, 2022"
"Foul Play - Yuri Visual Novel",1600930,0,False,1,"Bandit Visual Games","Bandit Visual Games","CAD","15.49","15.49",True,False,False,"","Single-player;Steam Achievements;Captions available;Steam Cloud;Family Sharing","Adventure;Casual;Indie;RPG","",28,"21 Oct, 2021"
"Forest Legends: The Call of Love Collector's Edition",765770,0,False,"","Alawar Stargaze","Alawar Casual","CAD","11.49","11.49",True,False,False,"","Single-player;Steam Cloud;Family Sharing","Adventure;Casual;Indie","","","20 Dec, 2017"
"Dreadfire",1872410,0,False,"","Ryan Cho","Ryan Cho","","","",True,False,False,"","Single-player;Steam Achievements;Captions available;Family Sharing","Action;Early Access","","","To be announced"
"终末之名 ending name",2644910,0,False,"","endingn","endingn","CAD","1.96","1.96",True,False,False,"","Single-player;Family Sharing","Casual;Indie","","","28 Feb, 2024"
"Belle Automata: Chronicle I",1814230,0,False,"","Jellyfish Parade","Jellyfish Parade","CAD","11.49","11.49",True,True,False,"","Single-player;Captions available;Family Sharing","Casual;Indie;Simulation","","","3 Mar, 2023"
"Psycho Simulator",1244620,0,False,"","Vanishing Games","PlayWay S.A.;Vanishing Games","","","",True,False,False,"","Single-player;Steam Achievements;Full controller support;Steam Cloud;Family Sharing","Casual;Indie;RPG;Simulation","","","To be announced"
"Lost Hellden",2355020,0,False,"","Artisan Studios","Artisan Studios","","","",True,False,False,"","Single-player;Steam Achievements;Full controller support;Steam Cloud;HDR available;Family Sharing","Action;Adventure;Indie;RPG","","","2025"
"My Bingo",886590,0,False,"","Racing Bros","ANPA.US","CAD","1.29","1.29",True,False,False,"","Single-player;Family Sharing","Casual;Indie","","","12 Jul, 2018"
"sunny-place-3: microgods",2337610,0,True,1,"tjern","tjern","","","",True,False,True,"","Single-player;Multi-player;PvP;Online PvP;Stats","Action;Strategy","","","24 Mar, 2023"
"Don't Kill Them All",2322260,0,False,"","Fika Productions","Fika Productions","","","",True,False,False,"","Single-player;Steam Achievements;Full controller support;Family Sharing","Indie;Strategy","","","To be announced"
"Snowy Love",1508060,0,False,"","Blessing Company","Blessing Company","CAD","2.59","2.59",True,False,False,"","Single-player;Family Sharing","Adventure;Casual;Indie;Strategy","","","14 Jan, 2021"
"Hermit: an Underwater Tale",1773740,0,False,"","Early Coffee Games","Early Coffee Games","","","",True,True,True,"","Single-player;Multi-player;Co-op;Shared/Split Screen Co-op;Shared/Split Screen;Full controller support;Steam Cloud;Steam Leaderboards;Remote Play Together;Family Sharing","Action;Adventure;Casual;Indie","","","To be announced"
"Survival In Africa",1502070,0,True,"","Mambo","Mambo","","","",True,False,False,"","Single-player","Adventure;Indie","","","23 Jan, 2021"
"Stratego® Online",2660420,0,False,"","Wanted  5 Games","Wanted 5 Games","","","",True,False,False,"","Single-player;Multi-player;PvP;Online PvP;Cross-Platform Multiplayer;Family Sharing","Strategy","","","To be announced"
"Deep Ocean Rush",1162730,0,False,"","TeamB","MyDreamForever","CAD","2.59","2.59",True,False,False,"","Single-player;Steam Achievements;Family Sharing","Casual;Indie","",9,"3 Jan, 2020"
"Pixel Punk",1556270,0,False,"","RedOrb Studios","RedOrb Studios","CAD","2.59","2.59",True,False,False,"","Single-player;Family Sharing","Action;Indie;Simulation;Strategy","","","15 Jun, 2023"
"Lonia Saga 2",861080,0,False,"","Root","Root","CAD","8.99","8.99",True,True,False,"","Single-player;Steam Achievements;Steam Cloud;Family Sharing","Action;Adventure;Indie;RPG","",47,"18 Aug, 2019"
"BattleCON: Online",792570,0,True,3,"Level 99 Games","Level 99 Games","","","",True,True,True,"","Single-player;Multi-player;PvP;Online PvP;Cross-Platform Multiplayer;Steam Achievements;In-App Purchases","Free To Play;Indie;Strategy;Early Access","",39,"3 Sep, 2018"
"Serum: Toxic Survival",1610520,0,False,3,"Game Island","Toplitz Productions","CAD","32.99","32.99",True,False,False,"","Single-player;Steam Achievements;Full controller support;Captions available;Family Sharing","Action;Adventure;Indie;RPG;Early Access",207,23,"23 May, 2024"
"Sakura Succubus",1202310,0,False,"","Winged Cloud","Winged Cloud","CAD","11.49","11.49",True,True,True,"","Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Family Sharing","Casual;Simulation",578,9,"31 Mar, 2020"
"Renegade Ops",99300,0,False,2,"Avalanche Studios","SEGA","CAD","16.99","16.99",True,False,False,76,"Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Leaderboards;Remote Play on TV;Remote Play Together;Family Sharing","Action",951,16,"26 Oct, 2011"
"The Valley",1169500,0,False,"","Icebreaker Games LLC","Icebreaker Games LLC","CAD","1.19","1.19",True,False,False,"","Single-player;Family Sharing","Action;Adventure;Indie;Early Access","","","21 Oct, 2019"
