,name,steam_appid,required_age,is_free,number_dlc,developers,publishers,price_currency,price_initial,price_final,windows,mac,linux,metacritic_score,categories,genres,recommendations_total,achievements_total,release_date,0,total_news,total_patches
52326,Interdimension Playtest,1766110.0,0.0,False,,,,,,,True,False,False,,,,,,"4 Oct, 2021",,,
52371,Cyber Rail Playtest,2986760.0,0.0,False,,,,,,,True,False,False,,,,,,"23 Dec, 2024",,,
52380,Star Life Playtest,3419480.0,0.0,False,,,,,,,True,False,False,,,,,,"16 Jan, 2025",,,
52397,Go Forward Survivors Playtest,3683670.0,0.0,False,,,,,,,True,False,False,,,,,,"23 Apr, 2025",,,
52405,Project Dragon Playtest,2933600.0,0.0,False,,,,,,,True,False,False,,,,,,"30 Apr, 2024",,,
52493,Battlechat Playtest,2764620.0,0.0,False,,,,,,,True,False,False,,,,,,"9 Jan, 2024",,,
52507,Projected Dreams Playtest,2861250.0,0.0,False,,,,,,,True,False,False,,,,,,"14 Nov, 2024",,,
52575,Championship Wrestling Promoter Playtest,2123730.0,0.0,False,,,,,,,True,False,False,,,,,,"22 Aug, 2022",,,
52646,1001 Nights Playtest,3099800.0,0.0,False,,,,,,,True,False,False,,,,,,"4 Aug, 2024",,,
52716,Deadhaus Sonata Playtest,2102850.0,0.0,False,,,,,,,True,False,False,,,,,,"30 Jul, 2022",,,
52733,Tree of Life 2 Playtest,1472220.0,0.0,False,,,,,,,True,False,False,,,,,,"21 Jan, 2022",,,
52783,Frigato - Shadows of the Caribbean Playtest,2106950.0,0.0,False,,,,,,,True,False,False,,,,,,"2 Jan, 2023",,,
52878,Prison Boss Prohibition Playtest,3732790.0,0.0,False,,,,,,,True,False,False,,VR Only,,,,"17 Jun, 2025",,,
52893,Nin Online Playtest,3830740.0,0.0,False,,,,,,,True,False,False,,,,,,"20 Jun, 2025",,,
53151,Hoser Hockey Playtest,1470560.0,0.0,False,,,,,,,True,False,False,,,,,,"11 Nov, 2020",,,
53163,Lord O' Pirates Playtest,2792790.0,0.0,False,,,,,,,True,False,False,,,,,,"6 Mar, 2024",,,
53230,Shadows of Soldiers Playtest,2524750.0,0.0,False,,,,,,,True,False,False,,,,,,"13 Jun, 2025",,,
53281,Drakantos Playtest,3830120.0,0.0,False,,,,,,,True,False,False,,,,,,"25 Jul, 2025",,,
